start	end	rec
29300000	29400000	2.0205042140823255e-09
29400000	29500000	4.779642861784878e-09
29500000	29600000	1.4161201456399985e-09
29600000	29700000	4.5874175893885936e-10
29700000	29800000	7.142073500755988e-10
29800000	29900000	1.1085084692701284e-09
29900000	30000000	7.150747560138482e-10
30000000	30100000	1.0508593328239821e-09
30100000	30200000	1.3704333163436548e-09
30200000	30300000	5.237553164783142e-09
30300000	30400000	9.446151201195398e-10
30400000	30500000	4.332270695755564e-09
30500000	30600000	3.5149318455962217e-09
30600000	30700000	3.949310558893344e-09
30700000	30800000	2.4522795168353605e-09
30800000	30900000	2.4512333093771335e-09
30900000	31000000	1.5108765512032262e-09
31000000	31100000	4.166778533706241e-09
31100000	31200000	1.9678389829776915e-09
31200000	31300000	8.591416980579637e-11
31300000	31400000	0.0
31400000	31500000	8.09856548613046e-11
31500000	31600000	3.955856376362453e-11
31600000	31700000	1.9215019088749393e-09
31700000	31800000	6.599751622432189e-10
31800000	31900000	1.848364370536418e-09
31900000	32000000	4.561578601918936e-09
32000000	32100000	1.0760626858830302e-09
32100000	32200000	3.4539419087960446e-09
32200000	32300000	3.0883753071910882e-09
32300000	32400000	3.894667105557346e-09
32400000	32500000	6.044362362577097e-09
32500000	32600000	7.318012408753101e-09
32600000	32700000	6.547483263161656e-09
32700000	32800000	4.087304877380597e-09
32800000	32900000	3.5440785296153506e-09
32900000	33000000	1.0137869890368467e-09
33000000	33100000	6.321981352747101e-09
33100000	33200000	5.998344770103087e-09
33200000	33300000	4.815685742520263e-09
33300000	33400000	6.520783721767843e-09
33400000	33500000	6.9472499381115646e-09
33500000	33600000	6.090582551607682e-09
33600000	33700000	6.471163634456923e-09
33700000	33800000	4.889725722830798e-09
33800000	33900000	5.7612790485329355e-09
33900000	34000000	3.795471173469685e-09
34000000	34100000	6.492137712548868e-09
34100000	34200000	4.004641598976536e-09
34200000	34300000	1.853340543103989e-09
34300000	34400000	1.1842509006906946e-09
34400000	34500000	2.83474013399036e-09
34500000	34600000	1.9024923710445907e-09
34600000	34700000	3.6471147540249464e-09
34700000	34800000	8.677648934272205e-10
34800000	34900000	2.054638635530934e-09
34900000	35000000	5.8133608739626495e-09
35000000	35100000	4.704826113472281e-09
35100000	35200000	6.441263546287028e-09
35200000	35300000	3.7056176740939493e-09
35300000	35400000	6.5949802357213555e-09
35400000	35500000	7.355090720956471e-09
35500000	35600000	7.812209890986343e-09
35600000	35700000	6.928538504253334e-09
35700000	35800000	7.178018293450328e-09
35800000	35900000	4.730919878898048e-09
35900000	36000000	4.3130402797514656e-09
36000000	36100000	4.918752916576423e-09
36100000	36200000	7.343935783687796e-09
36200000	36300000	7.977835906481497e-09
36300000	36400000	7.045371100023468e-09
36400000	36500000	5.40016821500402e-09
36500000	36600000	6.514099996240946e-09
36600000	36700000	6.093718511054455e-09
36700000	36800000	5.428827452881607e-09
36800000	36900000	4.60861752402967e-09
36900000	37000000	4.458419569539814e-09
37000000	37100000	5.40059323303507e-09
37100000	37200000	8.339079029077794e-09
37200000	37300000	7.517900003417375e-09
37300000	37400000	7.637349732160304e-09
37400000	37500000	4.606127025434003e-09
37500000	37600000	7.561485134013265e-09
37600000	37700000	3.0546020863889804e-09
37700000	37800000	1.875347410787273e-09
37800000	37900000	3.74433449256898e-09
37900000	38000000	3.0694432550847693e-09
38000000	38100000	2.9766438169465164e-09
38100000	38200000	4.181074125606768e-09
38200000	38300000	5.1174195299895036e-09
38300000	38400000	5.408989766221967e-09
38400000	38500000	4.5147754495949865e-09
38500000	38600000	3.709609912090794e-10
38600000	38700000	4.914453824461583e-10
38700000	38800000	4.7677728107821955e-09
38800000	38900000	2.6184632924340952e-09
38900000	39000000	7.533742750878143e-09
39000000	39100000	8.257666886684503e-09
39100000	39200000	5.980318612326883e-09
39200000	39300000	4.93560162907078e-09
39300000	39400000	6.3223873007105354e-09
39400000	39500000	4.108265311243394e-09
39500000	39600000	4.729042555499945e-09
39600000	39700000	6.302066161883665e-09
39700000	39800000	2.155878986683476e-09
39800000	39900000	2.7508863078816103e-10
39900000	40000000	3.781003936533089e-09
40000000	40100000	9.490663141885006e-10
40100000	40200000	4.106623704864429e-09
40200000	40300000	1.9715078784737724e-09
40300000	40400000	3.816627517131814e-09
40400000	40500000	1.1522440658652803e-09
40500000	40600000	5.86466718051086e-10
40600000	40700000	3.5028520278522006e-09
40700000	40800000	2.115464769159193e-09
40800000	40900000	2.7277834717743887e-09
40900000	41000000	7.863124294388097e-10
41000000	41100000	2.8391136776418055e-10
41100000	41200000	1.934021083495913e-12
41200000	41300000	1.3687945220828272e-09
41300000	41400000	5.395086740288528e-10
41400000	41500000	4.423459573215234e-09
41500000	41600000	2.1051469212802587e-09
41600000	41700000	8.256375214613484e-10
41700000	41800000	1.1031885463190826e-10
41800000	41900000	7.449922569964233e-10
41900000	42000000	2.994766837376961e-09
42000000	42100000	7.184274594959763e-10
42100000	42200000	9.844618815698906e-10
42200000	42300000	2.2689947202353957e-09
42300000	42400000	4.891940626605585e-09
42400000	42500000	4.095588485861206e-09
42500000	42600000	4.375414833449956e-09
42600000	42700000	5.002080113598788e-09
42700000	42800000	5.408469214087852e-09
42800000	42900000	6.381440963768568e-10
42900000	43000000	1.2644274717193804e-09
43000000	43100000	6.625442051941949e-09
43100000	43200000	7.042463756670501e-09
43200000	43300000	8.492706064448182e-09
43300000	43400000	6.867979468112471e-09
43400000	43500000	7.4226533377656456e-09
43500000	43600000	4.581773430752058e-09
43600000	43700000	7.225671330449317e-10
43700000	43800000	1.2396354825511753e-09
43800000	43900000	3.1472600452084427e-09
43900000	44000000	4.380526706335301e-09
44000000	44100000	5.583561409689844e-09
44100000	44200000	8.4925082301785e-09
44200000	44300000	8.21700738220446e-09
44300000	44400000	8.79145870654875e-09
44400000	44500000	6.7704847415439454e-09
44500000	44600000	6.927656794193488e-09
44600000	44700000	5.915030651785121e-09
44700000	44800000	8.88051356467313e-09
44800000	44900000	7.82200687397096e-09
44900000	45000000	3.918557118785328e-09
45000000	45100000	4.322401999717708e-09
45100000	45200000	7.338400968214119e-10
45200000	45300000	7.571969091985624e-09
45300000	45400000	2.5998021902080555e-09
45400000	45500000	5.077108046637023e-09
45500000	45600000	7.7154208959806e-09
45600000	45700000	2.7054056116647706e-09
